idx,run_id,config,runnumber,repetition,seedset,suite,num_uavs,puf_ber,fe_profile,attack_mode,uav_id,success,puf_eval_ms,fe_gen_ms,total_ms,helper_bytes,challenge_bytes,details
30,Baseline5UAV-14-20260922-20:31:47-1127386,Baseline5UAV,14,14,14,sha3,5,,,,0,1,0.007274,0.040355,0.078916,160,16,enrollment; config=Baseline5UAV
31,Baseline5UAV-14-20260922-20:31:47-1127386,Baseline5UAV,14,14,14,sha3,5,,,,1,1,0.004087,0.035306,0.065181,160,16,enrollment; config=Baseline5UAV
32,Baseline5UAV-14-20260922-20:31:47-1127386,Baseline5UAV,14,14,14,sha3,5,,,,2,1,0.003837,0.035947,0.064399,160,16,enrollment; config=Baseline5UAV
33,Baseline5UAV-14-20260922-20:31:47-1127386,Baseline5UAV,14,14,14,sha3,5,,,,3,1,0.003867,0.035455,0.062806,160,16,enrollment; config=Baseline5UAV
34,Baseline5UAV-14-20260922-20:31:47-1127386,Baseline5UAV,14,14,14,sha3,5,,,,4,1,0.003767,0.042098,0.069649,160,16,enrollment; config=Baseline5UAV
35,Baseline5UAV-15-20260922-20:31:47-1127386,Baseline5UAV,15,15,15,sha3,5,,,,0,1,0.006292,0.039954,0.076171,160,16,enrollment; config=Baseline5UAV
36,Baseline5UAV-15-20260922-20:31:47-1127386,Baseline5UAV,15,15,15,sha3,5,,,,1,1,0.003997,0.035295,0.065542,160,16,enrollment; config=Baseline5UAV
37,Baseline5UAV-15-20260922-20:31:47-1127386,Baseline5UAV,15,15,15,sha3,5,,,,2,1,0.003897,0.035004,0.063688,160,16,enrollment; config=Baseline5UAV
38,Baseline5UAV-15-20260922-20:31:47-1127386,Baseline5UAV,15,15,15,sha3,5,,,,3,1,0.003827,0.034614,0.061473,160,16,enrollment; config=Baseline5UAV
39,Baseline5UAV-15-20260922-20:31:47-1127386,Baseline5UAV,15,15,15,sha3,5,,,,4,1,0.003777,0.034704,0.061815,160,16,enrollment; config=Baseline5UAV
40,Baseline5UAV-16-20260922-20:31:47-1127386,Baseline5UAV,16,16,16,sha3,5,,,,0,1,0.006602,0.039783,0.077033,160,16,enrollment; config=Baseline5UAV
41,Baseline5UAV-16-20260922-20:31:47-1127386,Baseline5UAV,16,16,16,sha3,5,,,,1,1,0.004017,0.035486,0.065811,160,16,enrollment; config=Baseline5UAV
42,Baseline5UAV-16-20260922-20:31:47-1127386,Baseline5UAV,16,16,16,sha3,5,,,,2,1,0.003847,0.036708,0.06532,160,16,enrollment; config=Baseline5UAV
43,Baseline5UAV-16-20260922-20:31:47-1127386,Baseline5UAV,16,16,16,sha3,5,,,,3,1,0.003857,0.035155,0.062365,160,16,enrollment; config=Baseline5UAV
44,Baseline5UAV-16-20260922-20:31:47-1127386,Baseline5UAV,16,16,16,sha3,5,,,,4,1,0.003777,0.035185,0.062345,160,16,enrollment; config=Baseline5UAV
45,Baseline5UAV-17-20260922-20:31:47-1127386,Baseline5UAV,17,17,17,sha3,5,,,,0,1,0.006482,0.041958,0.078245,160,16,enrollment; config=Baseline5UAV
46,Baseline5UAV-17-20260922-20:31:47-1127386,Baseline5UAV,17,17,17,sha3,5,,,,1,1,0.004117,0.035486,0.065561,160,16,enrollment; config=Baseline5UAV
47,Baseline5UAV-17-20260922-20:31:47-1127386,Baseline5UAV,17,17,17,sha3,5,,,,2,1,0.003857,0.035416,0.064079,160,16,enrollment; config=Baseline5UAV
48,Baseline5UAV-17-20260922-20:31:47-1127386,Baseline5UAV,17,17,17,sha3,5,,,,3,1,0.003898,0.034934,0.061774,160,16,enrollment; config=Baseline5UAV
49,Baseline5UAV-17-20260922-20:31:47-1127386,Baseline5UAV,17,17,17,sha3,5,,,,4,1,0.003787,0.034985,0.061855,160,16,enrollment; config=Baseline5UAV
50,Baseline5UAV-18-20260922-20:31:48-1127386,Baseline5UAV,18,18,18,sha3,5,,,,0,1,0.007564,0.040535,0.079768,160,16,enrollment; config=Baseline5UAV
51,Baseline5UAV-18-20260922-20:31:48-1127386,Baseline5UAV,18,18,18,sha3,5,,,,1,1,0.004088,0.036046,0.066934,160,16,enrollment; config=Baseline5UAV
52,Baseline5UAV-18-20260922-20:31:48-1127386,Baseline5UAV,18,18,18,sha3,5,,,,2,1,0.003867,0.035145,0.064069,160,16,enrollment; config=Baseline5UAV
53,Baseline5UAV-18-20260922-20:31:48-1127386,Baseline5UAV,18,18,18,sha3,5,,,,3,1,0.003887,0.035225,0.062495,160,16,enrollment; config=Baseline5UAV
