idx,run_id,config,runnumber,repetition,seedset,uav_id,success,wall_latency_ms,bytes_sent,bytes_received,gs_m1_attempts,gs_m4_successes
45,Inet80211SHA3-12-20260810-15:02:30-742143,Inet80211SHA3,12,12,12,5,1,13.201188,147,630,9,9
46,Inet80211SHA3-12-20260810-15:02:30-742143,Inet80211SHA3,12,12,12,6,0,0.0,0,0,9,9
47,Inet80211SHA3-12-20260810-15:02:30-742143,Inet80211SHA3,12,12,12,7,1,5.182128,147,630,9,9
48,Inet80211SHA3-12-20260810-15:02:30-742143,Inet80211SHA3,12,12,12,8,1,6.260287,147,630,9,9
49,Inet80211SHA3-12-20260810-15:02:30-742143,Inet80211SHA3,12,12,12,9,1,12.315449,147,630,9,9
50,Inet80211SHA3-13-20260810-15:02:30-742143,Inet80211SHA3,13,13,13,0,1,13.750936,147,630,10,10
51,Inet80211SHA3-13-20260810-15:02:30-742143,Inet80211SHA3,13,13,13,1,1,12.480939,147,630,10,10
52,Inet80211SHA3-13-20260810-15:02:30-742143,Inet80211SHA3,13,13,13,2,1,11.775988,147,630,10,10
53,Inet80211SHA3-13-20260810-15:02:30-742143,Inet80211SHA3,13,13,13,3,1,14.656369,147,630,10,10
54,Inet80211SHA3-13-20260810-15:02:30-742143,Inet80211SHA3,13,13,13,4,1,15.001386,147,630,10,10
55,Inet80211SHA3-13-20260810-15:02:30-742143,Inet80211SHA3,13,13,13,5,1,13.025593,147,630,10,10
56,Inet80211SHA3-13-20260810-15:02:30-742143,Inet80211SHA3,13,13,13,6,1,15.506222,147,630,10,10
57,Inet80211SHA3-13-20260810-15:02:30-742143,Inet80211SHA3,13,13,13,7,1,9.906367,147,630,10,10
58,Inet80211SHA3-13-20260810-15:02:30-742143,Inet80211SHA3,13,13,13,8,1,10.851052,147,630,10,10
59,Inet80211SHA3-13-20260810-15:02:30-742143,Inet80211SHA3,13,13,13,9,1,6.841739,147,630,10,10
60,Inet80211SHA3-14-20260810-15:02:30-742143,Inet80211SHA3,14,14,14,0,1,12.336795,147,630,10,10
61,Inet80211SHA3-14-20260810-15:02:30-742143,Inet80211SHA3,14,14,14,1,1,11.651308,147,630,10,10
62,Inet80211SHA3-14-20260810-15:02:30-742143,Inet80211SHA3,14,14,14,2,1,11.225093,147,630,10,10
63,Inet80211SHA3-14-20260810-15:02:30-742143,Inet80211SHA3,14,14,14,3,1,14.035685,147,630,10,10
64,Inet80211SHA3-14-20260810-15:02:30-742143,Inet80211SHA3,14,14,14,4,1,10.898645,147,630,10,10
65,Inet80211SHA3-14-20260810-15:02:30-742143,Inet80211SHA3,14,14,14,5,1,5.47363,147,630,10,10
66,Inet80211SHA3-14-20260810-15:02:30-742143,Inet80211SHA3,14,14,14,6,1,14.58135,147,630,10,10
67,Inet80211SHA3-14-20260810-15:02:30-742143,Inet80211SHA3,14,14,14,7,1,9.993042,147,630,10,10
68,Inet80211SHA3-14-20260810-15:02:30-742143,Inet80211SHA3,14,14,14,8,1,15.506699,147,630,10,10
69,Inet80211SHA3-14-20260810-15:02:30-742143,Inet80211SHA3,14,14,14,9,1,15.832007,147,630,10,10
70,Inet80211SHA3-15-20260810-15:02:30-742143,Inet80211SHA3,15,15,15,0,1,13.359787,147,630,10,10
71,Inet80211SHA3-15-20260810-15:02:30-742143,Inet80211SHA3,15,15,15,1,1,12.832858,147,630,10,10
72,Inet80211SHA3-15-20260810-15:02:30-742143,Inet80211SHA3,15,15,15,2,1,11.745118,147,630,10,10
73,Inet80211SHA3-15-20260810-15:02:30-742143,Inet80211SHA3,15,15,15,3,1,7.137879,147,630,10,10
74,Inet80211SHA3-15-20260810-15:02:30-742143,Inet80211SHA3,15,15,15,4,1,17.853188,147,630,10,10
75,Inet80211SHA3-15-20260810-15:02:30-742143,Inet80211SHA3,15,15,15,5,1,17.067101,147,630,10,10
76,Inet80211SHA3-15-20260810-15:02:30-742143,Inet80211SHA3,15,15,15,6,1,10.213018,147,630,10,10
77,Inet80211SHA3-15-20260810-15:02:30-742143,Inet80211SHA3,15,15,15,7,1,14.552408,147,630,10,10
78,Inet80211SHA3-15-20260810-15:02:30-742143,Inet80211SHA3,15,15,15,8,1,11.059123,147,630,10,10
79,Inet80211SHA3-15-20260810-15:02:30-742143,Inet80211SHA3,15,15,15,9,1,13.745963,147,630,10,10
80,Inet80211SHA3-16-20260810-15:02:30-742143,Inet80211SHA3,16,16,16,0,1,15.153533,147,630,10,10
81,Inet80211SHA3-16-20260810-15:02:30-742143,Inet80211SHA3,16,16,16,1,1,14.248069,147,630,10,10
82,Inet80211SHA3-16-20260810-15:02:30-742143,Inet80211SHA3,16,16,16,2,1,8.799833,147,630,10,10
83,Inet80211SHA3-16-20260810-15:02:30-742143,Inet80211SHA3,16,16,16,3,1,7.578546,147,630,10,10
84,Inet80211SHA3-16-20260810-15:02:30-742143,Inet80211SHA3,16,16,16,4,1,16.04424,147,630,10,10
85,Inet80211SHA3-16-20260810-15:02:30-742143,Inet80211SHA3,16,16,16,5,1,15.579103,147,630,10,10
86,Inet80211SHA3-16-20260810-15:02:30-742143,Inet80211SHA3,16,16,16,6,1,5.776241,147,630,10,10
87,Inet80211SHA3-16-20260810-15:02:30-742143,Inet80211SHA3,16,16,16,7,1,13.862801,147,630,10,10
88,Inet80211SHA3-16-20260810-15:02:30-742143,Inet80211SHA3,16,16,16,8,1,10.059908,147,630,10,10
89,Inet80211SHA3-16-20260810-15:02:30-742143,Inet80211SHA3,16,16,16,9,1,11.831613,147,630,10,10
90,Inet80211SHA3-17-20260810-15:02:30-742143,Inet80211SHA3,17,17,17,0,1,3.912367,147,630,10,10
91,Inet80211SHA3-17-20260810-15:02:30-742143,Inet80211SHA3,17,17,17,1,1,12.337236,147,630,10,10
92,Inet80211SHA3-17-20260810-15:02:30-742143,Inet80211SHA3,17,17,17,2,1,14.494232,147,630,10,10
93,Inet80211SHA3-17-20260810-15:02:30-742143,Inet80211SHA3,17,17,17,3,1,11.064723,147,630,10,10
94,Inet80211SHA3-17-20260810-15:02:30-742143,Inet80211SHA3,17,17,17,4,1,9.167367,147,630,10,10
95,Inet80211SHA3-17-20260810-15:02:30-742143,Inet80211SHA3,17,17,17,5,1,10.719151,147,630,10,10
96,Inet80211SHA3-17-20260810-15:02:30-742143,Inet80211SHA3,17,17,17,6,1,13.748658,147,630,10,10
97,Inet80211SHA3-17-20260810-15:02:30-742143,Inet80211SHA3,17,17,17,7,1,12.943003,147,630,10,10
98,Inet80211SHA3-17-20260810-15:02:30-742143,Inet80211SHA3,17,17,17,8,1,14.959273,147,630,10,10
99,Inet80211SHA3-17-20260810-15:02:30-742143,Inet80211SHA3,17,17,17,9,1,11.431027,147,630,10,10
100,Inet80211SHA3-18-20260810-15:02:31-742143,Inet80211SHA3,18,18,18,0,1,14.368652,147,630,10,10
101,Inet80211SHA3-18-20260810-15:02:31-742143,Inet80211SHA3,18,18,18,1,1,15.213608,147,630,10,10
102,Inet80211SHA3-18-20260810-15:02:31-742143,Inet80211SHA3,18,18,18,2,1,12.715753,147,630,10,10
103,Inet80211SHA3-18-20260810-15:02:31-742143,Inet80211SHA3,18,18,18,3,1,12.310056,147,630,10,10
104,Inet80211SHA3-18-20260810-15:02:31-742143,Inet80211SHA3,18,18,18,4,1,11.945459,147,630,10,10
105,Inet80211SHA3-18-20260810-15:02:31-742143,Inet80211SHA3,18,18,18,5,1,8.325119,147,630,10,10
106,Inet80211SHA3-18-20260810-15:02:31-742143,Inet80211SHA3,18,18,18,6,1,6.785221,147,630,10,10
107,Inet80211SHA3-18-20260810-15:02:31-742143,Inet80211SHA3,18,18,18,7,1,11.400105,147,630,10,10
108,Inet80211SHA3-18-20260810-15:02:31-742143,Inet80211SHA3,18,18,18,8,1,13.522604,147,630,10,10
109,Inet80211SHA3-18-20260810-15:02:31-742143,Inet80211SHA3,18,18,18,9,1,10.000058,147,630,10,10
110,Inet80211SHA3-19-20260810-15:02:31-742143,Inet80211SHA3,19,19,19,0,1,14.104511,147,630,10,10
111,Inet80211SHA3-19-20260810-15:02:31-742143,Inet80211SHA3,19,19,19,1,1,7.7608,147,630,10,10
112,Inet80211SHA3-19-20260810-15:02:31-742143,Inet80211SHA3,19,19,19,2,1,12.511586,147,630,10,10
113,Inet80211SHA3-19-20260810-15:02:31-742143,Inet80211SHA3,19,19,19,3,1,10.247003,147,630,10,10
114,Inet80211SHA3-19-20260810-15:02:31-742143,Inet80211SHA3,19,19,19,4,1,9.280271,147,630,10,10
115,Inet80211SHA3-19-20260810-15:02:31-742143,Inet80211SHA3,19,19,19,5,1,6.646506,147,630,10,10
116,Inet80211SHA3-19-20260810-15:02:31-742143,Inet80211SHA3,19,19,19,6,1,15.157135,147,630,10,10
117,Inet80211SHA3-19-20260810-15:02:31-742143,Inet80211SHA3,19,19,19,7,1,13.277547,147,630,10,10
118,Inet80211SHA3-19-20260810-15:02:31-742143,Inet80211SHA3,19,19,19,8,1,14.550736,147,630,10,10
119,Inet80211SHA3-19-20260810-15:02:31-742143,Inet80211SHA3,19,19,19,9,1,10.752054,147,630,10,10
120,Inet80211SHA3-2-20260810-15:02:28-742143,Inet80211SHA3,2,2,2,0,1,10.128228,147,630,10,10
121,Inet80211SHA3-2-20260810-15:02:28-742143,Inet80211SHA3,2,2,2,1,1,5.836239,147,630,10,10
122,Inet80211SHA3-2-20260810-15:02:28-742143,Inet80211SHA3,2,2,2,2,1,12.229261,147,630,10,10
123,Inet80211SHA3-2-20260810-15:02:28-742143,Inet80211SHA3,2,2,2,3,1,9.402353,147,630,10,10
124,Inet80211SHA3-2-20260810-15:02:28-742143,Inet80211SHA3,2,2,2,4,1,12.893808,147,630,10,10
125,Inet80211SHA3-2-20260810-15:02:28-742143,Inet80211SHA3,2,2,2,5,1,13.79874,147,630,10,10
126,Inet80211SHA3-2-20260810-15:02:28-742143,Inet80211SHA3,2,2,2,6,1,10.91894,147,630,10,10
127,Inet80211SHA3-2-20260810-15:02:28-742143,Inet80211SHA3,2,2,2,7,1,14.163906,147,630,10,10
128,Inet80211SHA3-2-20260810-15:02:28-742143,Inet80211SHA3,2,2,2,8,1,10.573987,147,630,10,10
129,Inet80211SHA3-2-20260810-15:02:28-742143,Inet80211SHA3,2,2,2,9,1,11.284098,147,630,10,10
130,Inet80211SHA3-20-20260810-15:02:31-742143,Inet80211SHA3,20,20,20,0,1,11.706769,147,630,10,10
131,Inet80211SHA3-20-20260810-15:02:31-742143,Inet80211SHA3,20,20,20,1,1,10.941634,147,630,10,10
132,Inet80211SHA3-20-20260810-15:02:31-742143,Inet80211SHA3,20,20,20,2,1,2.107,147,630,10,10
133,Inet80211SHA3-20-20260810-15:02:31-742143,Inet80211SHA3,20,20,20,3,1,13.045313,147,630,10,10
134,Inet80211SHA3-20-20260810-15:02:31-742143,Inet80211SHA3,20,20,20,4,1,15.833888,147,630,10,10
135,Inet80211SHA3-20-20260810-15:02:31-742143,Inet80211SHA3,20,20,20,5,1,15.069225,147,630,10,10
136,Inet80211SHA3-20-20260810-15:02:31-742143,Inet80211SHA3,20,20,20,6,1,14.663771,147,630,10,10
