idx,run_id,config,runnumber,repetition,seedset,suite,num_uavs,puf_ber,fe_profile,attack_mode,module,role,primitive,calls,total_ms,mean_us,median_us,p95_us
28,ArbiterPuf-0-20260922-20:31:50-1127388,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[3],uav,aead_open,1,0.001433,1.433,1.433,1.433
29,ArbiterPuf-0-20260922-20:31:50-1127388,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[3],uav,dh_derive,10,0.656435,65.6435,63.918,73.52285
30,ArbiterPuf-0-20260922-20:31:50-1127388,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[3],uav,dh_keygen,10,0.350141,35.0141,33.5875,41.07935
31,ArbiterPuf-0-20260922-20:31:50-1127388,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[3],uav,extract,1,0.004258,4.258,4.258,4.258
32,ArbiterPuf-0-20260922-20:31:50-1127388,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[3],uav,kdf,21,0.111798,5.323714,4.989,9.227
33,ArbiterPuf-0-20260922-20:31:50-1127388,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[3],uav,mac,17,0.037408,2.200471,2.134,2.423
34,ArbiterPuf-0-20260922-20:31:50-1127388,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[3],uav,mac_verify,13,0.029765,2.289615,2.104,3.1318
35,ArbiterPuf-0-20260922-20:31:50-1127388,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[4],uav,aead_open,1,0.001703,1.703,1.703,1.703
36,ArbiterPuf-0-20260922-20:31:50-1127388,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[4],uav,dh_derive,10,0.665423,66.5423,63.9035,74.93665
37,ArbiterPuf-0-20260922-20:31:50-1127388,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[4],uav,dh_keygen,10,0.343976,34.3976,33.557,38.2162
38,ArbiterPuf-0-20260922-20:31:50-1127388,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[4],uav,extract,1,0.006411,6.411,6.411,6.411
39,ArbiterPuf-0-20260922-20:31:50-1127388,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[4],uav,kdf,21,0.111123,5.291571,5.039,9.357
40,ArbiterPuf-0-20260922-20:31:50-1127388,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[4],uav,mac,16,0.038914,2.432125,2.129,3.4095
41,ArbiterPuf-0-20260922-20:31:50-1127388,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[4],uav,mac_verify,14,0.030888,2.206286,2.094,2.7232
42,ArbiterPuf-0-20260922-20:31:50-1127388,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[5],uav,aead_open,1,0.001483,1.483,1.483,1.483
43,ArbiterPuf-0-20260922-20:31:50-1127388,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[5],uav,dh_derive,10,0.669657,66.9657,64.0985,72.92215
44,ArbiterPuf-0-20260922-20:31:50-1127388,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[5],uav,dh_keygen,10,0.344598,34.4598,33.617,37.44815
45,ArbiterPuf-0-20260922-20:31:50-1127388,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[5],uav,extract,1,0.004058,4.058,4.058,4.058
46,ArbiterPuf-0-20260922-20:31:50-1127388,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[5],uav,kdf,21,0.104325,4.967857,4.939,6.021
47,ArbiterPuf-0-20260922-20:31:50-1127388,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[5],uav,mac,15,0.038511,2.5674,2.164,4.042
48,ArbiterPuf-0-20260922-20:31:50-1127388,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[5],uav,mac_verify,15,0.031801,2.120067,2.094,2.315
49,ArbiterPuf-0-20260922-20:31:50-1127388,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[6],uav,aead_open,1,0.001573,1.573,1.573,1.573
50,ArbiterPuf-0-20260922-20:31:50-1127388,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[6],uav,dh_derive,10,0.645124,64.5124,63.8935,67.40895
51,ArbiterPuf-0-20260922-20:31:50-1127388,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[6],uav,dh_keygen,10,0.349274,34.9274,33.682,39.1072
52,ArbiterPuf-0-20260922-20:31:50-1127388,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[6],uav,extract,1,0.005941,5.941,5.941,5.941
53,ArbiterPuf-0-20260922-20:31:50-1127388,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[6],uav,kdf,21,0.102199,4.866619,4.969,5.32
54,ArbiterPuf-0-20260922-20:31:50-1127388,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[6],uav,mac,14,0.031047,2.217643,2.184,2.40685
55,ArbiterPuf-0-20260922-20:31:50-1127388,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[6],uav,mac_verify,16,0.033603,2.100188,2.104,2.29475
56,ArbiterPuf-0-20260922-20:31:50-1127388,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[7],uav,aead_open,1,0.001392,1.392,1.392,1.392
57,ArbiterPuf-0-20260922-20:31:50-1127388,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[7],uav,dh_derive,10,0.6497,64.97,63.978,69.70915
58,ArbiterPuf-0-20260922-20:31:50-1127388,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[7],uav,dh_keygen,10,0.341823,34.1823,33.387,36.98275
59,ArbiterPuf-0-20260922-20:31:50-1127388,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[7],uav,extract,1,0.003216,3.216,3.216,3.216
60,ArbiterPuf-0-20260922-20:31:50-1127388,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[7],uav,kdf,21,0.100937,4.806524,4.949,5.41
61,ArbiterPuf-0-20260922-20:31:50-1127388,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[7],uav,mac,13,0.030546,2.349692,2.194,3.0456
62,ArbiterPuf-0-20260922-20:31:50-1127388,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[7],uav,mac_verify,17,0.036638,2.155176,2.084,2.587
63,ArbiterPuf-0-20260922-20:31:50-1127388,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[8],uav,aead_open,1,0.001413,1.413,1.413,1.413
64,ArbiterPuf-0-20260922-20:31:50-1127388,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[8],uav,dh_derive,10,0.660904,66.0904,63.998,75.3008
65,ArbiterPuf-0-20260922-20:31:50-1127388,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[8],uav,dh_keygen,10,0.36267,36.267,34.228,41.52815
66,ArbiterPuf-0-20260922-20:31:50-1127388,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[8],uav,extract,1,0.003276,3.276,3.276,3.276
67,ArbiterPuf-0-20260922-20:31:50-1127388,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[8],uav,kdf,21,0.105014,5.000667,4.939,5.921
68,ArbiterPuf-0-20260922-20:31:50-1127388,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[8],uav,mac,12,0.027389,2.282417,2.309,2.49495
69,ArbiterPuf-0-20260922-20:31:50-1127388,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[8],uav,mac_verify,18,0.040916,2.273111,2.214,3.51615
70,ArbiterPuf-0-20260922-20:31:50-1127388,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[9],uav,aead_open,1,0.001322,1.322,1.322,1.322
71,ArbiterPuf-0-20260922-20:31:50-1127388,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[9],uav,dh_derive,10,0.668115,66.8115,63.6775,80.7938
72,ArbiterPuf-0-20260922-20:31:50-1127388,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[9],uav,dh_keygen,10,0.354158,35.4158,33.668,40.0536
73,ArbiterPuf-0-20260922-20:31:50-1127388,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[9],uav,extract,1,0.003466,3.466,3.466,3.466
74,ArbiterPuf-0-20260922-20:31:50-1127388,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[9],uav,kdf,21,0.107137,5.101762,4.949,5.541
75,ArbiterPuf-0-20260922-20:31:50-1127388,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[9],uav,mac,11,0.024486,2.226,2.194,2.3245
76,ArbiterPuf-0-20260922-20:31:50-1127388,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[9],uav,mac_verify,19,0.042138,2.217789,2.214,2.6073
77,ArbiterPuf-1-20260922-20:31:51-1127388,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.groundStation,groundStation,aead_seal,10,0.035927,3.5927,2.084,10.4672
78,ArbiterPuf-1-20260922-20:31:51-1127388,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.groundStation,groundStation,dh_derive,10,0.643161,64.3161,63.588,67.59955
79,ArbiterPuf-1-20260922-20:31:51-1127388,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.groundStation,groundStation,dh_keygen,10,0.343025,34.3025,33.7225,36.62085
80,ArbiterPuf-1-20260922-20:31:51-1127388,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.groundStation,groundStation,extract,10,0.026139,2.6139,2.54,2.92755
81,ArbiterPuf-1-20260922-20:31:51-1127388,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.groundStation,groundStation,kdf,180,0.828703,4.603906,4.328,5.227
82,ArbiterPuf-1-20260922-20:31:51-1127388,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.groundStation,groundStation,mac,10,0.025116,2.5116,2.495,2.61555
83,ArbiterPuf-1-20260922-20:31:51-1127388,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.groundStation,groundStation,mac_verify,20,0.044575,2.22875,2.2695,2.42205
84,ArbiterPuf-1-20260922-20:31:51-1127388,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[0],uav,aead_open,1,0.001954,1.954,1.954,1.954
85,ArbiterPuf-1-20260922-20:31:51-1127388,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[0],uav,dh_derive,10,0.683827,68.3827,64.074,80.51325
86,ArbiterPuf-1-20260922-20:31:51-1127388,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[0],uav,dh_keygen,10,0.353736,35.3736,33.277,44.18485
87,ArbiterPuf-1-20260922-20:31:51-1127388,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[0],uav,extract,1,0.00525,5.25,5.25,5.25
88,ArbiterPuf-1-20260922-20:31:51-1127388,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[0],uav,kdf,21,0.107239,5.106619,5.04,5.911
89,ArbiterPuf-1-20260922-20:31:51-1127388,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[0],uav,mac,20,0.04345,2.1725,2.124,2.30105
90,ArbiterPuf-1-20260922-20:31:51-1127388,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[0],uav,mac_verify,10,0.021622,2.1622,2.089,2.4505
91,ArbiterPuf-1-20260922-20:31:51-1127388,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[1],uav,aead_open,1,0.001443,1.443,1.443,1.443
92,ArbiterPuf-1-20260922-20:31:51-1127388,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[1],uav,dh_derive,10,0.64362,64.362,63.743,67.7133
93,ArbiterPuf-1-20260922-20:31:51-1127388,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[1],uav,dh_keygen,10,0.347774,34.7774,33.482,38.12605
94,ArbiterPuf-1-20260922-20:31:51-1127388,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[1],uav,extract,1,0.003276,3.276,3.276,3.276
95,ArbiterPuf-1-20260922-20:31:51-1127388,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[1],uav,kdf,21,0.101699,4.84281,4.989,5.59
96,ArbiterPuf-1-20260922-20:31:51-1127388,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[1],uav,mac,19,0.041817,2.200895,2.114,2.4473
97,ArbiterPuf-1-20260922-20:31:51-1127388,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[1],uav,mac_verify,11,0.023383,2.125727,2.094,2.3395
98,ArbiterPuf-1-20260922-20:31:51-1127388,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[2],uav,aead_open,1,0.001733,1.733,1.733,1.733
99,ArbiterPuf-1-20260922-20:31:51-1127388,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[2],uav,dh_derive,10,0.662038,66.2038,64.194,74.3461
100,ArbiterPuf-1-20260922-20:31:51-1127388,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[2],uav,dh_keygen,10,0.347903,34.7903,33.2715,38.9876
101,ArbiterPuf-1-20260922-20:31:51-1127388,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[2],uav,extract,1,0.007875,7.875,7.875,7.875
102,ArbiterPuf-1-20260922-20:31:51-1127388,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[2],uav,kdf,21,0.104081,4.956238,5.079,5.801
103,ArbiterPuf-1-20260922-20:31:51-1127388,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[2],uav,mac,18,0.042785,2.376944,2.164,3.6825
104,ArbiterPuf-1-20260922-20:31:51-1127388,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[2],uav,mac_verify,12,0.027734,2.311167,2.209,3.0473
105,ArbiterPuf-1-20260922-20:31:51-1127388,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[3],uav,aead_open,1,0.001373,1.373,1.373,1.373
106,ArbiterPuf-1-20260922-20:31:51-1127388,ArbiterPuf,1,1,1,sha3,10,,,,UavAuthNetwork.uav[3],uav,dh_derive,10,0.640415,64.0415,63.818,65.66005
