idx,run_id,config,runnumber,repetition,seedset,suite,num_uavs,puf_ber,fe_profile,attack_mode,module,role,primitive,calls,total_ms,mean_us,median_us,p95_us
28,ArbiterPuf-0-20260809-23:47:28-406558,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[3],uav,aead_open,1,0.001513,1.513,1.513,1.513
29,ArbiterPuf-0-20260809-23:47:28-406558,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[3],uav,dh_derive,10,0.64752,64.752,63.592,69.48105
30,ArbiterPuf-0-20260809-23:47:28-406558,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[3],uav,dh_keygen,10,0.339608,33.9608,33.251,36.85515
31,ArbiterPuf-0-20260809-23:47:28-406558,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[3],uav,extract,1,0.004649,4.649,4.649,4.649
32,ArbiterPuf-0-20260809-23:47:28-406558,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[3],uav,kdf,21,0.111793,5.323476,4.97,9.419
33,ArbiterPuf-0-20260809-23:47:28-406558,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[3],uav,mac,17,0.036433,2.143118,2.135,2.2062
34,ArbiterPuf-0-20260809-23:47:28-406558,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[3],uav,mac_verify,13,0.028087,2.160538,2.144,2.359
35,ArbiterPuf-0-20260809-23:47:28-406558,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[4],uav,aead_open,1,0.001403,1.403,1.403,1.403
36,ArbiterPuf-0-20260809-23:47:28-406558,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[4],uav,dh_derive,10,0.667212,66.7212,63.5115,80.82925
37,ArbiterPuf-0-20260809-23:47:28-406558,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[4],uav,dh_keygen,10,0.337293,33.7293,33.712,34.97505
38,ArbiterPuf-0-20260809-23:47:28-406558,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[4],uav,extract,1,0.003547,3.547,3.547,3.547
39,ArbiterPuf-0-20260809-23:47:28-406558,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[4],uav,kdf,21,0.105603,5.028714,4.87,5.411
40,ArbiterPuf-0-20260809-23:47:28-406558,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[4],uav,mac,16,0.03571,2.231875,2.1295,2.62725
41,ArbiterPuf-0-20260809-23:47:28-406558,ArbiterPuf,0,0,0,sha3,10,,,,UavAuthNetwork.uav[4],uav,mac_verify,14,0.031663,2.261643,2.154,2.9102
