idx,success,latency_ms,compute_ms,net_ms,overhead_bytes,hash_mode,details,m1_uav_compute_ms,m1_gs_compute_ms,m1_net_ms,m2_uav_verify_ms,m2_net_ms,puf_eval_ms,bch_ms,m3_uav_compute_ms,m3_gs_compute_ms,m3_net_ms,m4_uav_compute_ms,m4_net_ms,config,run_id,uav_id,row_uid,runnumber,repetition,seedset,suite,num_uavs,puf_ber,fe_profile,attack_mode,wall_latency_ms,fe_rep_ms,mac_ms,kdf_ms,dh_ms,aead_ms,gs_mac_ms,gs_kdf_ms,gs_dh_ms,gs_aead_ms,bytes_m1,bytes_m2,bytes_m3,bytes_m4,ephemeral_erased,replay_cache_hits
0,1,2.870534,1.792355,1.078179,777,sha3,OMNeT++; module=UavAuthNetwork.uav[0]; config=ArbiterPuf,1.578389,0.052184,0.256671,0.100991,0.249728,1.16283,0.194228,0.100991,0.137043,0.183693,0.011984,0.828452,ArbiterPuf,ArbiterPuf-0-20260809-23:47:28-406558,0,ArbiterPuf-0-20260809-23:47:28-406558|phase2|0,0,0,0,sha3,10,,,,1.518543,0.194228,0.011383,0.011764,0.271832,0.003808,0.008607,0.011193,0.099167,0.011282,104,85,43,545,1,0
1,1,2.667928,1.585875,1.082053,777,sha3,OMNeT++; module=UavAuthNetwork.uav[1]; config=ArbiterPuf,1.42336,0.048757,0.251082,0.076513,0.240244,1.167619,0.189579,0.076513,0.126603,0.166001,0.009489,0.841809,ArbiterPuf,ArbiterPuf-0-20260809-23:47:28-406558,1,ArbiterPuf-0-20260809-23:47:28-406558|phase2|1,0,0,0,sha3,10,,,,1.499136,0.189579,0.007244,0.010341,0.099619,0.001583,0.007305,0.010541,0.098056,0.002345,104,85,43,545,1,0
2,1,2.905812,1.852344,1.053468,777,sha3,OMNeT++; module=UavAuthNetwork.uav[2]; config=ArbiterPuf,1.680773,0.049769,0.244435,0.078907,0.225942,1.406065,0.201823,0.078907,0.165952,0.174349,0.013757,0.827526,ArbiterPuf,ArbiterPuf-0-20260809-23:47:28-406558,2,ArbiterPuf-0-20260809-23:47:28-406558|phase2|2,0,0,0,sha3,10,,,,1.472252,0.201823,0.007726,0.011493,0.10601,0.002515,0.007333,0.010762,0.098386,0.008216,104,85,43,545,1,0
3,1,2.704781,1.644681,1.0601,777,sha3,OMNeT++; module=UavAuthNetwork.uav[3]; config=ArbiterPuf,1.481286,0.048036,0.270952,0.076943,0.230351,1.181597,0.218576,0.076943,0.127003,0.16277,0.009509,0.829749,ArbiterPuf,ArbiterPuf-0-20260809-23:47:28-406558,3,ArbiterPuf-0-20260809-23:47:28-406558|phase2|3,0,0,0,sha3,10,,,,1.493821,0.218576,0.007234,0.010642,0.103005,0.001693,0.007335,0.01046,0.097806,0.002825,104,85,43,545,1,0
4,1,2.682662,1.575453,1.107209,777,sha3,OMNeT++; module=UavAuthNetwork.uav[4]; config=ArbiterPuf,1.414182,0.047635,0.241588,0.075941,0.257305,1.156006,0.192825,0.075941,0.130861,0.189083,0.009389,0.849904,ArbiterPuf,ArbiterPuf-0-20260809-23:47:28-406558,4,ArbiterPuf-0-20260809-23:47:28-406558|phase2|4,0,0,0,sha3,10,,,,1.53788,0.192825,0.007155,0.01023,0.099318,0.001563,0.012354,0.010661,0.097595,0.002214,104,85,43,545,1,0
5,1,2.640751,1.564851,1.0759,777,sha3,OMNeT++; module=UavAuthNetwork.uav[5]; config=ArbiterPuf,1.404031,0.047174,0.245457,0.075881,0.227226,1.150265,0.188516,0.075881,0.124298,0.164536,0.009058,0.848674,ArbiterPuf,ArbiterPuf-0-20260809-23:47:28-406558,5,ArbiterPuf-0-20260809-23:47:28-406558|phase2|5,0,0,0,sha3,10,,,,1.485893,0.188516,0.007105,0.010351,0.098937,0.001413,0.007165,0.010321,0.097214,0.002014,104,85,43,545,1,0
6,1,2.669408,1.585184,1.084224,777,sha3,OMNeT++; module=UavAuthNetwork.uav[6]; config=ArbiterPuf,1.425374,0.047746,0.252117,0.075411,0.244646,1.152279,0.208476,0.075411,0.124318,0.172502,0.008988,0.839578,ArbiterPuf,ArbiterPuf-0-20260809-23:47:28-406558,6,ArbiterPuf-0-20260809-23:47:28-406558|phase2|6,0,0,0,sha3,10,,,,1.508843,0.208476,0.007094,0.01012,0.098756,0.001413,0.007094,0.010611,0.096883,0.002074,104,85,43,545,1,0
7,1,2.834969,1.783408,1.051561,777,sha3,OMNeT++; module=UavAuthNetwork.uav[7]; config=ArbiterPuf,1.617006,0.05,0.242171,0.078056,0.214395,1.34336,0.202935,0.078056,0.128166,0.188,0.01029,0.837166,ArbiterPuf,ArbiterPuf-0-20260809-23:47:28-406558,7,ArbiterPuf-0-20260809-23:47:28-406558|phase2|7,0,0,0,sha3,10,,,,1.481733,0.202935,0.007605,0.012054,0.103586,0.001934,0.007393,0.011213,0.098387,0.003407,104,85,43,545,1,0
8,1,2.628717,1.564342,1.064375,777,sha3,OMNeT++; module=UavAuthNetwork.uav[8]; config=ArbiterPuf,1.403881,0.048016,0.258842,0.075491,0.223481,1.147369,0.190049,0.075491,0.12998,0.217914,0.009479,0.840894,ArbiterPuf,ArbiterPuf-0-20260809-23:47:28-406558,8,ArbiterPuf-0-20260809-23:47:28-406558|phase2|8,0,0,0,sha3,10,,,,1.541131,0.190049,0.007184,0.01025,0.098427,0.001533,0.007194,0.01059,0.101503,0.002244,104,85,43,545,1,0
9,1,2.639311,1.562789,1.076522,777,sha3,OMNeT++; module=UavAuthNetwork.uav[9]; config=ArbiterPuf,1.402919,0.046833,0.263986,0.075451,0.224282,1.143882,0.193676,0.075451,0.124188,0.158638,0.008968,0.852241,ArbiterPuf,ArbiterPuf-0-20260809-23:47:28-406558,9,ArbiterPuf-0-20260809-23:47:28-406558|phase2|9,0,0,0,sha3,10,,,,1.499146,0.193676,0.007064,0.01033,0.098126,0.001393,0.007144,0.0101,0.096453,0.002014,104,85,43,545,1,0
10,1,2.660225,1.603751,1.056474,777,sha3,OMNeT++; module=UavAuthNetwork.uav[0]; config=ArbiterPuf,1.428491,0.049679,0.268297,0.082425,0.224628,1.154774,0.194198,0.082425,0.133336,0.158713,0.01041,0.831845,ArbiterPuf,ArbiterPuf-1-20260809-23:47:29-406558,0,ArbiterPuf-1-20260809-23:47:29-406558|phase2|0,1,1,1,sha3,10,,,,1.483483,0.194198,0.007966,0.012224,0.115601,0.002064,0.007466,0.010941,0.098196,0.008568,104,85,43,545,1,0
11,1,2.630468,1.573689,1.056779,777,sha3,OMNeT++; module=UavAuthNetwork.uav[1]; config=ArbiterPuf,1.411395,0.047195,0.264262,0.076533,0.225093,1.149624,0.195981,0.076533,0.131773,0.175273,0.009228,0.831686,ArbiterPuf,ArbiterPuf-1-20260809-23:47:29-406558,1,ArbiterPuf-1-20260809-23:47:29-406558|phase2|1,1,1,1,sha3,10,,,,1.496314,0.195981,0.007736,0.01005,0.099167,0.001472,0.007315,0.010512,0.103045,0.002244,104,85,43,545,1,0
12,1,2.728448,1.639223,1.089225,777,sha3,OMNeT++; module=UavAuthNetwork.uav[2]; config=ArbiterPuf,1.479302,0.047214,0.252213,0.075301,0.236517,1.218912,0.195089,0.075301,0.124669,0.169952,0.009319,0.852708,ArbiterPuf,ArbiterPuf-1-20260809-23:47:29-406558,2,ArbiterPuf-1-20260809-23:47:29-406558|phase2|2,1,1,1,sha3,10,,,,1.51139,0.195089,0.007174,0.01001,0.098356,0.001513,0.007185,0.01017,0.096943,0.002064,104,85,43,545,1,0
13,1,2.631804,1.556836,1.074968,777,sha3,OMNeT++; module=UavAuthNetwork.uav[3]; config=ArbiterPuf,1.397138,0.046754,0.252408,0.07532,0.246567,1.154073,0.178907,0.07532,0.124889,0.165107,0.009058,0.828402,ArbiterPuf,ArbiterPuf-1-20260809-23:47:29-406558,3,ArbiterPuf-1-20260809-23:47:29-406558|phase2|3,1,1,1,sha3,10,,,,1.492483,0.178907,0.007034,0.01006,0.098476,0.001442,0.007235,0.01022,0.097093,0.002014,104,85,43,545,1,0
14,1,2.62363,1.562085,1.061545,777,sha3,OMNeT++; module=UavAuthNetwork.uav[4]; config=ArbiterPuf,1.402007,0.052865,0.271349,0.07553,0.216598,1.15262,0.18542,0.07553,0.124548,0.179885,0.009018,0.844948,ArbiterPuf,ArbiterPuf-1-20260809-23:47:29-406558,4,ArbiterPuf-1-20260809-23:47:29-406558|phase2|4,1,1,1,sha3,10,,,,1.51278,0.18542,0.007084,0.01011,0.098427,0.001403,0.007214,0.0102,0.102294,0.002094,104,85,43,545,1,0
15,1,2.648153,1.565714,1.082439,777,sha3,OMNeT++; module=UavAuthNetwork.uav[5]; config=ArbiterPuf,1.406116,0.046884,0.242388,0.07534,0.216014,1.149574,0.192815,0.07534,0.124989,0.159153,0.008918,0.866426,ArbiterPuf,ArbiterPuf-1-20260809-23:47:29-406558,5,ArbiterPuf-1-20260809-23:47:29-406558|phase2|5,1,1,1,sha3,10,,,,1.483981,0.192815,0.007063,0.01004,0.098346,0.001432,0.007094,0.010121,0.097424,0.001964,104,85,43,545,1,0
16,0,0.0,0.0,0.0,0,sha3,OMNeT++; module=UavAuthNetwork.uav[6]; config=ArbiterPuf,0.0,0.0,0.0,0.0,0.0,1.150706,0.172815,0.0,0.0,0.0,0.0,0.0,ArbiterPuf,ArbiterPuf-1-20260809-23:47:29-406558,6,ArbiterPuf-1-20260809-23:47:29-406558|phase2|6,1,1,1,sha3,10,,,,0.0,0.172815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
17,1,2.633668,1.55914,1.074528,777,sha3,OMNeT++; module=UavAuthNetwork.uav[7]; config=ArbiterPuf,1.39849,0.047615,0.283112,0.075841,0.221452,1.148111,0.185259,0.075841,0.125881,0.202522,0.008968,0.853076,ArbiterPuf,ArbiterPuf-1-20260809-23:47:29-406558,7,ArbiterPuf-1-20260809-23:47:29-406558|phase2|7,1,1,1,sha3,10,,,,1.560162,0.185259,0.007215,0.01036,0.098717,0.001413,0.007164,0.010411,0.096992,0.002074,104,85,43,545,1,0
18,1,2.677127,1.599962,1.077165,777,sha3,OMNeT++; module=UavAuthNetwork.uav[8]; config=ArbiterPuf,1.439542,0.047104,0.244929,0.075751,0.225607,1.185957,0.188766,0.075751,0.125621,0.185028,0.008918,0.851558,ArbiterPuf,ArbiterPuf-1-20260809-23:47:29-406558,8,ArbiterPuf-1-20260809-23:47:29-406558|phase2|8,1,1,1,sha3,10,,,,1.507122,0.188766,0.007064,0.0103,0.098808,0.001403,0.007214,0.010151,0.097004,0.002074,104,85,43,545,1,0
19,1,2.717062,1.594992,1.12207,777,sha3,OMNeT++; module=UavAuthNetwork.uav[9]; config=ArbiterPuf,1.4331,0.048667,0.255804,0.076372,0.244446,1.165946,0.200861,0.076372,0.127505,0.173615,0.009148,0.877624,ArbiterPuf,ArbiterPuf-1-20260809-23:47:29-406558,9,ArbiterPuf-1-20260809-23:47:29-406558|phase2|9,1,1,1,sha3,10,,,,1.55149,0.200861,0.007365,0.010642,0.10017,0.001553,0.007183,0.010441,0.097464,0.002445,104,85,43,545,1,0
20,1,2.709513,1.631354,1.078159,777,sha3,OMNeT++; module=UavAuthNetwork.uav[0]; config=ArbiterPuf,1.457679,0.05,0.263602,0.081572,0.248624,1.169132,0.199498,0.081572,0.13535,0.171762,0.010531,0.829535,ArbiterPuf,ArbiterPuf-2-20260809-23:47:29-406558,0,ArbiterPuf-2-20260809-23:47:29-406558|phase2|0,2,2,2,sha3,10,,,,1.513523,0.199498,0.007966,0.011483,0.118476,0.002045,0.007755,0.010692,0.099048,0.008978,104,85,43,545,1,0
21,1,2.659869,1.586406,1.073463,777,sha3,OMNeT++; module=UavAuthNetwork.uav[1]; config=ArbiterPuf,1.424753,0.046884,0.246729,0.076102,0.223881,1.16265,0.19577,0.076102,0.127124,0.182786,0.009449,0.849582,ArbiterPuf,ArbiterPuf-2-20260809-23:47:29-406558,1,ArbiterPuf-2-20260809-23:47:29-406558|phase2|1,2,2,2,sha3,10,,,,1.502978,0.19577,0.007194,0.01012,0.099529,0.001563,0.007416,0.01015,0.098217,0.002385,104,85,43,545,1,0
22,1,2.666892,1.58356,1.083332,777,sha3,OMNeT++; module=UavAuthNetwork.uav[2]; config=ArbiterPuf,1.421928,0.048046,0.258927,0.076162,0.2246,1.158882,0.197644,0.076162,0.12561,0.159875,0.009308,0.858733,ArbiterPuf,ArbiterPuf-2-20260809-23:47:29-406558,2,ArbiterPuf-2-20260809-23:47:29-406558|phase2|2,2,2,2,sha3,10,,,,1.502133,0.197644,0.007134,0.010381,0.099138,0.001503,0.007275,0.010522,0.097665,0.002074,104,85,43,545,1,0
23,1,2.625275,1.576075,1.0492,777,sha3,OMNeT++; module=UavAuthNetwork.uav[3]; config=ArbiterPuf,1.414924,0.047054,0.240712,0.075981,0.216164,1.165897,0.184207,0.075981,0.126041,0.204086,0.009189,0.833036,ArbiterPuf,ArbiterPuf-2-20260809-23:47:29-406558,3,ArbiterPuf-2-20260809-23:47:29-406558|phase2|3,2,2,2,sha3,10,,,,1.493998,0.184207,0.007174,0.010241,0.099238,0.001533,0.007214,0.01015,0.097916,0.002024,104,85,43,545,1,0
24,1,2.652548,1.581977,1.070571,777,sha3,OMNeT++; module=UavAuthNetwork.uav[4]; config=ArbiterPuf,1.420143,0.052775,0.255178,0.076483,0.229748,1.161357,0.194318,0.076483,0.128507,0.169948,0.008868,0.840823,ArbiterPuf,ArbiterPuf-2-20260809-23:47:29-406558,4,ArbiterPuf-2-20260809-23:47:29-406558|phase2|4,2,2,2,sha3,10,,,,1.495697,0.194318,0.007135,0.010521,0.099238,0.001392,0.007405,0.01026,0.097615,0.002074,104,85,43,545,1,0
25,1,2.845487,1.781224,1.064263,777,sha3,OMNeT++; module=UavAuthNetwork.uav[5]; config=ArbiterPuf,1.55376,0.072605,0.26957,0.108737,0.217266,1.282078,0.201653,0.108737,0.149007,0.199652,0.00999,0.846997,ArbiterPuf,ArbiterPuf-2-20260809-23:47:29-406558,5,ArbiterPuf-2-20260809-23:47:29-406558|phase2|5,2,2,2,sha3,10,,,,1.533486,0.201653,0.011733,0.015901,0.12506,0.001713,0.013135,0.015151,0.129698,0.002775,104,85,43,545,1,0
26,1,2.818015,1.751565,1.06645,777,sha3,OMNeT++; module=UavAuthNetwork.uav[6]; config=ArbiterPuf,1.584922,0.05048,0.256803,0.078196,0.237282,1.316076,0.197474,0.078196,0.144619,0.160766,0.010251,0.829168,ArbiterPuf,ArbiterPuf-2-20260809-23:47:29-406558,6,ArbiterPuf-2-20260809-23:47:29-406558|phase2|6,2,2,2,sha3,10,,,,1.484019,0.197474,0.007435,0.010983,0.104067,0.001823,0.007413,0.011193,0.098026,0.003928,104,85,43,545,1,0
27,1,2.684091,1.611447,1.072644,777,sha3,OMNeT++; module=UavAuthNetwork.uav[7]; config=ArbiterPuf,1.447969,0.048217,0.251251,0.076934,0.239077,1.185706,0.191973,0.076934,0.127865,0.195254,0.00961,0.833566,ArbiterPuf,ArbiterPuf-2-20260809-23:47:29-406558,7,ArbiterPuf-2-20260809-23:47:29-406558|phase2|7,2,2,2,sha3,10,,,,1.519149,0.191973,0.007345,0.010651,0.102133,0.001623,0.007143,0.010541,0.097754,0.002555,104,85,43,545,1,0
28,1,2.668179,1.577818,1.090361,777,sha3,OMNeT++; module=UavAuthNetwork.uav[8]; config=ArbiterPuf,1.415465,0.049028,0.258522,0.076382,0.230213,1.158101,0.191492,0.076382,0.126753,0.184573,0.009589,0.860147,ArbiterPuf,ArbiterPuf-2-20260809-23:47:29-406558,8,ArbiterPuf-2-20260809-23:47:29-406558|phase2|8,2,2,2,sha3,10,,,,1.533456,0.191492,0.007224,0.010321,0.099218,0.001593,0.007305,0.010902,0.097795,0.002104,104,85,43,545,1,0
29,1,2.67498,1.610705,1.064275,777,sha3,OMNeT++; module=UavAuthNetwork.uav[9]; config=ArbiterPuf,1.435915,0.047706,0.248707,0.082946,0.230871,1.180796,0.19032,0.082946,0.125591,0.169293,0.008898,0.833405,ArbiterPuf,ArbiterPuf-2-20260809-23:47:29-406558,9,ArbiterPuf-2-20260809-23:47:29-406558|phase2|9,2,2,2,sha3,10,,,,1.482275,0.19032,0.007234,0.010862,0.10533,0.001523,0.007304,0.01023,0.097956,0.002094,104,85,43,545,1,0
30,1,2.686897,1.615916,1.070981,777,sha3,OMNeT++; module=UavAuthNetwork.uav[0]; config=ArbiterPuf,1.442568,0.049118,0.249726,0.081313,0.232185,1.168592,0.186843,0.081313,0.132685,0.186971,0.010722,0.838797,ArbiterPuf,ArbiterPuf-3-20260809-23:47:30-406558,0,ArbiterPuf-3-20260809-23:47:30-406558|phase2|0,3,3,3,sha3,10,,,,1.507678,0.186843,0.007896,0.011243,0.116302,0.002084,0.007635,0.010461,0.097756,0.008176,104,85,43,545,1,0
31,1,2.636907,1.566676,1.070231,777,sha3,OMNeT++; module=UavAuthNetwork.uav[1]; config=ArbiterPuf,1.406085,0.052184,0.287174,0.075581,0.234064,1.150625,0.189619,0.075581,0.124829,0.175748,0.009429,0.836167,ArbiterPuf,ArbiterPuf-3-20260809-23:47:30-406558,1,ArbiterPuf-3-20260809-23:47:30-406558|phase2|1,3,3,3,sha3,10,,,,1.533153,0.189619,0.007184,0.010261,0.098367,0.001593,0.007316,0.010251,0.101963,0.002334,104,85,43,545,1,0
32,1,2.630183,1.562997,1.067186,777,sha3,OMNeT++; module=UavAuthNetwork.uav[2]; config=ArbiterPuf,1.402979,0.048036,0.265616,0.07537,0.238633,1.150425,0.187915,0.07537,0.124559,0.164095,0.009278,0.828553,ArbiterPuf,ArbiterPuf-3-20260809-23:47:30-406558,2,ArbiterPuf-3-20260809-23:47:30-406558|phase2|2,3,3,3,sha3,10,,,,1.496897,0.187915,0.007135,0.01009,0.098095,0.001443,0.007234,0.010321,0.097024,0.002104,104,85,43,545,1,0
33,1,2.619313,1.562857,1.056456,777,sha3,OMNeT++; module=UavAuthNetwork.uav[3]; config=ArbiterPuf,1.402899,0.046463,0.259868,0.07539,0.217535,1.149363,0.188486,0.07539,0.124498,0.180963,0.009178,0.838921,ArbiterPuf,ArbiterPuf-3-20260809-23:47:30-406558,3,ArbiterPuf-3-20260809-23:47:30-406558|phase2|3,3,3,3,sha3,10,,,,1.497287,0.188486,0.007113,0.01012,0.098747,0.001584,0.007084,0.01007,0.097014,0.002004,104,85,43,545,1,0
34,1,2.625113,1.565704,1.059409,777,sha3,OMNeT++; module=UavAuthNetwork.uav[4]; config=ArbiterPuf,1.405364,0.048216,0.294036,0.075651,0.229769,1.154243,0.182244,0.075651,0.124949,0.160682,0.009038,0.82964,ArbiterPuf,ArbiterPuf-3-20260809-23:47:30-406558,4,ArbiterPuf-3-20260809-23:47:30-406558|phase2|4,3,3,3,sha3,10,,,,1.514127,0.182244,0.011412,0.010412,0.098526,0.001402,0.007175,0.01036,0.097325,0.001994,104,85,43,545,1,0
35,1,2.611168,1.557618,1.05355,777,sha3,OMNeT++; module=UavAuthNetwork.uav[5]; config=ArbiterPuf,1.397118,0.047224,0.257923,0.075741,0.21866,1.145255,0.187715,0.075741,0.128967,0.189043,0.009018,0.834889,ArbiterPuf,ArbiterPuf-3-20260809-23:47:30-406558,5,ArbiterPuf-3-20260809-23:47:30-406558|phase2|5,3,3,3,sha3,10,,,,1.500516,0.187715,0.007045,0.010251,0.098727,0.001423,0.007235,0.011112,0.097013,0.002134,104,85,43,545,1,0
36,1,2.617805,1.568839,1.048966,777,sha3,OMNeT++; module=UavAuthNetwork.uav[6]; config=ArbiterPuf,1.409392,0.046974,0.241023,0.07543,0.215949,1.152549,0.192774,0.07543,0.12509,0.17993,0.008587,0.833017,ArbiterPuf,ArbiterPuf-3-20260809-23:47:30-406558,6,ArbiterPuf-3-20260809-23:47:30-406558|phase2|6,3,3,3,sha3,10,,,,1.469919,0.192774,0.007085,0.010321,0.097895,0.001343,0.007064,0.010041,0.096292,0.002044,104,85,43,545,1,0
37,1,2.774634,1.687277,1.087357,777,sha3,OMNeT++; module=UavAuthNetwork.uav[7]; config=ArbiterPuf,1.525173,0.047585,0.252172,0.076403,0.233682,1.261858,0.197524,0.076403,0.134388,0.175546,0.009298,0.853675,ArbiterPuf,ArbiterPuf-3-20260809-23:47:30-406558,7,ArbiterPuf-3-20260809-23:47:30-406558|phase2|7,3,3,3,sha3,10,,,,1.515075,0.197524,0.007174,0.010621,0.10011,0.001503,0.007234,0.010222,0.097304,0.008958,104,85,43,545,1,0
38,1,2.686071,1.623189,1.062882,777,sha3,OMNeT++; module=UavAuthNetwork.uav[8]; config=ArbiterPuf,1.42847,0.05508,0.24693,0.092615,0.232634,1.170035,0.191853,0.092615,0.139769,0.180383,0.009489,0.830248,ArbiterPuf,ArbiterPuf-3-20260809-23:47:30-406558,8,ArbiterPuf-3-20260809-23:47:30-406558|phase2|8,3,3,3,sha3,10,,,,1.490195,0.191853,0.007215,0.015441,0.111162,0.001723,0.009249,0.012093,0.113065,0.002625,104,85,43,545,1,0
39,1,2.660099,1.574551,1.085548,777,sha3,OMNeT++; module=UavAuthNetwork.uav[9]; config=ArbiterPuf,1.414141,0.047054,0.251319,0.075771,0.244157,1.160435,0.188276,0.075771,0.124979,0.166278,0.008868,0.841391,ArbiterPuf,ArbiterPuf-3-20260809-23:47:30-406558,9,ArbiterPuf-3-20260809-23:47:30-406558|phase2|9,3,3,3,sha3,10,,,,1.503144,0.188276,0.007224,0.01025,0.099047,0.001402,0.007205,0.01011,0.096963,0.002104,104,85,43,545,1,0
40,1,2.707971,1.639301,1.06867,777,sha3,OMNeT++; module=UavAuthNetwork.uav[0]; config=ArbiterPuf,1.46816,0.049408,0.253513,0.08033,0.227468,1.174153,0.206763,0.08033,0.132825,0.173339,0.010481,0.841202,ArbiterPuf,ArbiterPuf-4-20260809-23:47:31-406558,0,ArbiterPuf-4-20260809-23:47:31-406558|phase2|0,4,4,4,sha3,10,,,,1.495521,0.206763,0.007865,0.011803,0.115342,0.002004,0.007595,0.010752,0.097946,0.008096,104,85,43,545,1,0
41,1,2.647148,1.584841,1.062307,777,sha3,OMNeT++; module=UavAuthNetwork.uav[1]; config=ArbiterPuf,1.413791,0.047184,0.247422,0.080971,0.215673,1.153802,0.193296,0.080971,0.12557,0.159418,0.009108,0.846634,ArbiterPuf,ArbiterPuf-4-20260809-23:47:31-406558,1,ArbiterPuf-4-20260809-23:47:31-406558|phase2|1,4,4,4,sha3,10,,,,1.469146,0.193296,0.007284,0.010451,0.103807,0.001473,0.007336,0.010281,0.097434,0.002335,104,85,43,545,1,0
42,1,2.843347,1.762065,1.081282,777,sha3,OMNeT++; module=UavAuthNetwork.uav[2]; config=ArbiterPuf,1.525053,0.073617,0.251234,0.11034,0.232516,1.166968,0.27048,0.11034,0.206361,0.178186,0.016332,0.848766,ArbiterPuf,ArbiterPuf-4-20260809-23:47:31-406558,2,ArbiterPuf-4-20260809-23:47:31-406558|phase2|2,4,4,4,sha3,10,,,,1.510702,0.27048,0.012404,0.018507,0.139748,0.002596,0.012965,0.019479,0.137224,0.003416,104,85,43,545,1,0
43,1,2.676593,1.602948,1.073645,777,sha3,OMNeT++; module=UavAuthNetwork.uav[3]; config=ArbiterPuf,1.440123,0.048357,0.254426,0.076573,0.245948,1.171447,0.187775,0.076573,0.126693,0.195317,0.009679,0.827697,ArbiterPuf,ArbiterPuf-4-20260809-23:47:31-406558,3,ArbiterPuf-4-20260809-23:47:31-406558|phase2|3,4,4,4,sha3,10,,,,1.523387,0.187775,0.007234,0.010712,0.102174,0.001644,0.007254,0.010271,0.097554,0.003016,104,85,43,545,1,0
44,1,2.684949,1.610572,1.074377,777,sha3,OMNeT++; module=UavAuthNetwork.uav[4]; config=ArbiterPuf,1.450013,0.047776,0.276796,0.07556,0.223333,1.193762,0.190681,0.07556,0.125601,0.164659,0.009439,0.851044,ArbiterPuf,ArbiterPuf-4-20260809-23:47:31-406558,4,ArbiterPuf-4-20260809-23:47:31-406558|phase2|4,4,4,4,sha3,10,,,,1.515832,0.190681,0.007044,0.01006,0.098648,0.001362,0.007134,0.010391,0.097194,0.002094,104,85,43,545,1,0
45,1,2.625075,1.567989,1.057086,777,sha3,OMNeT++; module=UavAuthNetwork.uav[5]; config=ArbiterPuf,1.406467,0.053016,0.256425,0.076122,0.217876,1.155725,0.184939,0.076122,0.126002,0.190998,0.009278,0.83921,ArbiterPuf,ArbiterPuf-4-20260809-23:47:31-406558,5,ArbiterPuf-4-20260809-23:47:31-406558|phase2|5,4,4,4,sha3,10,,,,1.504508,0.184939,0.007205,0.010471,0.099348,0.001503,0.007234,0.01022,0.102856,0.002355,104,85,43,545,1,0
46,1,2.622296,1.561596,1.0607,777,sha3,OMNeT++; module=UavAuthNetwork.uav[6]; config=ArbiterPuf,1.401476,0.047535,0.253378,0.075581,0.215548,1.148953,0.188326,0.075581,0.125179,0.16318,0.008958,0.845152,ArbiterPuf,ArbiterPuf-4-20260809-23:47:31-406558,6,ArbiterPuf-4-20260809-23:47:31-406558|phase2|6,4,4,4,sha3,10,,,,1.477257,0.188326,0.007054,0.01018,0.098557,0.001433,0.007194,0.010472,0.097134,0.002064,104,85,43,545,1,0
47,1,2.640962,1.584411,1.056551,777,sha3,OMNeT++; module=UavAuthNetwork.uav[7]; config=ArbiterPuf,1.423169,0.047835,0.257241,0.076142,0.214669,1.160586,0.196852,0.076142,0.12542,0.158203,0.008958,0.841882,ArbiterPuf,ArbiterPuf-4-20260809-23:47:31-406558,7,ArbiterPuf-4-20260809-23:47:31-406558|phase2|7,4,4,4,sha3,10,,,,1.471995,0.196852,0.007555,0.01032,0.099709,0.001453,0.007134,0.010501,0.097595,0.002104,104,85,43,545,1,0
48,1,2.649776,1.585863,1.063913,777,sha3,OMNeT++; module=UavAuthNetwork.uav[8]; config=ArbiterPuf,1.425113,0.047866,0.251906,0.075811,0.220797,1.160786,0.198496,0.075811,0.1255,0.171399,0.009128,0.843115,ArbiterPuf,ArbiterPuf-4-20260809-23:47:31-406558,8,ArbiterPuf-4-20260809-23:47:31-406558|phase2|8,4,4,4,sha3,10,,,,1.487218,0.198496,0.007144,0.010582,0.099308,0.001533,0.007124,0.010621,0.097254,0.002265,104,85,43,545,1,0
49,1,2.630041,1.581718,1.048323,777,sha3,OMNeT++; module=UavAuthNetwork.uav[9]; config=ArbiterPuf,1.420815,0.047124,0.286069,0.075852,0.21554,1.164905,0.189839,0.075852,0.130741,0.177986,0.009199,0.832784,ArbiterPuf,ArbiterPuf-4-20260809-23:47:31-406558,9,ArbiterPuf-4-20260809-23:47:31-406558|phase2|9,4,4,4,sha3,10,,,,1.512379,0.189839,0.007204,0.010411,0.099799,0.001603,0.007114,0.010251,0.097054,0.002294,104,85,43,545,1,0
50,1,2.709762,1.654202,1.05556,777,sha3,OMNeT++; module=UavAuthNetwork.uav[0]; config=ArbiterPuf,1.482248,0.049609,0.24115,0.080581,0.215422,1.19811,0.19524,0.080581,0.134298,0.180186,0.010792,0.840138,ArbiterPuf,ArbiterPuf-5-20260809-23:47:31-406558,0,ArbiterPuf-5-20260809-23:47:31-406558|phase2|0,5,5,5,sha3,10,,,,1.476895,0.19524,0.007977,0.011313,0.115521,0.002275,0.007515,0.010822,0.098386,0.008116,104,85,43,545,1,0
51,1,2.642936,1.575012,1.067924,777,sha3,OMNeT++; module=UavAuthNetwork.uav[1]; config=ArbiterPuf,1.41333,0.047264,0.240961,0.076162,0.223502,1.156728,0.189548,0.076162,0.126092,0.166102,0.009358,0.844421,ArbiterPuf,ArbiterPuf-5-20260809-23:47:31-406558,1,ArbiterPuf-5-20260809-23:47:31-406558|phase2|1,5,5,5,sha3,10,,,,1.474987,0.189548,0.007135,0.010452,0.098866,0.001553,0.007254,0.010501,0.097344,0.002255,104,85,43,545,1,0
