idx,run_id,config,runnumber,repetition,seedset,uav_id,sig_suite,success,wall_latency_ms,compute_ms,net_ms,sign_ms,verify_ms,mac_ms,kdf_ms,dh_ms,overhead_bytes,bytes_b1,bytes_b2,bytes_b3,bytes_b4
26,BaselineRSA-10-20260922-20:33:08-1128111,BaselineRSA,10,10,10,6,rsa2048,1,1.407218,1.041006,0.686854,0.797056,0.024005,0.004859,0.006552,0.106266,703,330,325,24,24
27,BaselineRSA-10-20260922-20:33:08-1128111,BaselineRSA,10,10,10,7,rsa2048,1,1.400367,1.044915,0.711686,0.804349,0.024545,0.00488,0.006953,0.099875,703,330,325,24,24
28,BaselineRSA-10-20260922-20:33:08-1128111,BaselineRSA,10,10,10,8,rsa2048,1,1.43115,1.053381,0.726211,0.816301,0.023674,0.004909,0.006602,0.099755,703,330,325,24,24
29,BaselineRSA-10-20260922-20:33:08-1128111,BaselineRSA,10,10,10,9,rsa2048,1,1.395243,1.054272,0.691175,0.812685,0.024465,0.004859,0.007224,0.100556,703,330,325,24,24
30,BaselineRSA-11-20260922-20:33:09-1128111,BaselineRSA,11,11,11,0,rsa2048,1,1.41108,1.144428,0.713368,0.832582,0.024846,0.00545,0.013575,0.13498,703,330,325,24,24
31,BaselineRSA-11-20260922-20:33:09-1128111,BaselineRSA,11,11,11,1,rsa2048,1,1.394384,1.048892,0.717634,0.805872,0.024906,0.005159,0.007193,0.100115,703,330,325,24,24
32,BaselineRSA-11-20260922-20:33:09-1128111,BaselineRSA,11,11,11,2,rsa2048,1,1.415383,1.045215,0.727677,0.802957,0.024776,0.004888,0.006902,0.100587,703,330,325,24,24
33,BaselineRSA-11-20260922-20:33:09-1128111,BaselineRSA,11,11,11,3,rsa2048,1,1.38358,1.03128,0.688876,0.793799,0.023694,0.004808,0.006592,0.099914,703,330,325,24,24
34,BaselineRSA-11-20260922-20:33:09-1128111,BaselineRSA,11,11,11,4,rsa2048,1,1.414382,1.039506,0.705527,0.798708,0.024425,0.004829,0.007113,0.100156,703,330,325,24,24
35,BaselineRSA-11-20260922-20:33:09-1128111,BaselineRSA,11,11,11,5,rsa2048,1,1.385455,1.031341,0.704503,0.791695,0.024375,0.00487,0.006722,0.100336,703,330,325,24,24
36,BaselineRSA-11-20260922-20:33:09-1128111,BaselineRSA,11,11,11,6,rsa2048,1,1.411402,1.175885,0.704957,0.920314,0.025117,0.005219,0.011331,0.101949,703,330,325,24,24
37,BaselineRSA-11-20260922-20:33:09-1128111,BaselineRSA,11,11,11,7,rsa2048,1,1.440095,1.06978,0.706045,0.821851,0.025196,0.00494,0.007874,0.101839,703,330,325,24,24
38,BaselineRSA-11-20260922-20:33:09-1128111,BaselineRSA,11,11,11,8,rsa2048,1,1.403693,1.045094,0.690772,0.802746,0.024746,0.004898,0.007063,0.100396,703,330,325,24,24
39,BaselineRSA-11-20260922-20:33:09-1128111,BaselineRSA,11,11,11,9,rsa2048,1,1.424833,1.04264,0.717523,0.803628,0.023984,0.004889,0.006802,0.100066,703,330,325,24,24
40,BaselineRSA-12-20260922-20:33:09-1128111,BaselineRSA,12,12,12,0,rsa2048,1,1.431777,1.090728,0.726929,0.812865,0.025026,0.005601,0.013255,0.111286,703,330,325,24,24
41,BaselineRSA-12-20260922-20:33:09-1128111,BaselineRSA,12,12,12,1,rsa2048,1,1.391028,1.061063,0.711987,0.805841,0.030356,0.00504,0.007203,0.100748,703,330,325,24,24
42,BaselineRSA-12-20260922-20:33:09-1128111,BaselineRSA,12,12,12,2,rsa2048,1,1.403864,1.052166,0.721356,0.812624,0.024104,0.004898,0.006813,0.100256,703,330,325,24,24
43,BaselineRSA-12-20260922-20:33:09-1128111,BaselineRSA,12,12,12,3,rsa2048,1,1.41557,1.046518,0.695231,0.804029,0.024586,0.004819,0.006963,0.101869,703,330,325,24,24
44,BaselineRSA-12-20260922-20:33:09-1128111,BaselineRSA,12,12,12,4,rsa2048,1,1.416991,1.103954,0.700595,0.839945,0.024535,0.005018,0.010249,0.108289,703,330,325,24,24
45,BaselineRSA-12-20260922-20:33:09-1128111,BaselineRSA,12,12,12,5,rsa2048,1,1.445625,1.053661,0.699421,0.81008,0.024645,0.00496,0.007434,0.100867,703,330,325,24,24
46,BaselineRSA-12-20260922-20:33:09-1128111,BaselineRSA,12,12,12,6,rsa2048,1,1.416866,1.044883,0.721067,0.803488,0.024275,0.004939,0.006963,0.100827,703,330,325,24,24
47,BaselineRSA-12-20260922-20:33:09-1128111,BaselineRSA,12,12,12,7,rsa2048,1,1.412788,1.032341,0.701058,0.79412,0.023824,0.004979,0.006853,0.099785,703,330,325,24,24
