idx,run_id,config,runnumber,repetition,seedset,suite,num_uavs,puf_ber,fe_profile,attack_mode,uav_id,success,puf_eval_ms,fe_gen_ms,total_ms,helper_bytes,challenge_bytes,details
30,ArbiterPuf-3-20260809-23:47:30-406558,ArbiterPuf,3,3,3,sha3,10,,,,0,1,0.993973,0.052324,1.087229,160,16,enrollment; config=ArbiterPuf
31,ArbiterPuf-3-20260809-23:47:30-406558,ArbiterPuf,3,3,3,sha3,10,,,,1,1,0.994294,0.036382,1.057349,160,16,enrollment; config=ArbiterPuf
32,ArbiterPuf-3-20260809-23:47:30-406558,ArbiterPuf,3,3,3,sha3,10,,,,2,1,0.994174,0.035391,1.056758,160,16,enrollment; config=ArbiterPuf
33,ArbiterPuf-3-20260809-23:47:30-406558,ArbiterPuf,3,3,3,sha3,10,,,,3,1,0.990717,0.03508,1.051187,160,16,enrollment; config=ArbiterPuf
34,ArbiterPuf-3-20260809-23:47:30-406558,ArbiterPuf,3,3,3,sha3,10,,,,4,1,1.032069,0.042264,1.100335,160,16,enrollment; config=ArbiterPuf
35,ArbiterPuf-3-20260809-23:47:30-406558,ArbiterPuf,3,3,3,sha3,10,,,,5,1,0.993882,0.035681,1.057029,160,16,enrollment; config=ArbiterPuf
36,ArbiterPuf-3-20260809-23:47:30-406558,ArbiterPuf,3,3,3,sha3,10,,,,6,1,1.044955,0.040531,1.112409,160,16,enrollment; config=ArbiterPuf
37,ArbiterPuf-3-20260809-23:47:30-406558,ArbiterPuf,3,3,3,sha3,10,,,,7,1,1.053873,0.037855,1.118962,160,16,enrollment; config=ArbiterPuf
38,ArbiterPuf-3-20260809-23:47:30-406558,ArbiterPuf,3,3,3,sha3,10,,,,8,1,0.994404,0.035581,1.056808,160,16,enrollment; config=ArbiterPuf
39,ArbiterPuf-3-20260809-23:47:30-406558,ArbiterPuf,3,3,3,sha3,10,,,,9,1,1.010586,0.036062,1.074624,160,16,enrollment; config=ArbiterPuf
40,ArbiterPuf-4-20260809-23:47:31-406558,ArbiterPuf,4,4,4,sha3,10,,,,0,1,0.993743,0.053206,1.085206,160,16,enrollment; config=ArbiterPuf
41,ArbiterPuf-4-20260809-23:47:31-406558,ArbiterPuf,4,4,4,sha3,10,,,,1,1,0.993412,0.035942,1.056387,160,16,enrollment; config=ArbiterPuf
42,ArbiterPuf-4-20260809-23:47:31-406558,ArbiterPuf,4,4,4,sha3,10,,,,2,1,0.994825,0.03532,1.057259,160,16,enrollment; config=ArbiterPuf
43,ArbiterPuf-4-20260809-23:47:31-406558,ArbiterPuf,4,4,4,sha3,10,,,,3,1,1.0022,0.03514,1.06258,160,16,enrollment; config=ArbiterPuf
44,ArbiterPuf-4-20260809-23:47:31-406558,ArbiterPuf,4,4,4,sha3,10,,,,4,1,0.994184,0.03525,1.055065,160,16,enrollment; config=ArbiterPuf
45,ArbiterPuf-4-20260809-23:47:31-406558,ArbiterPuf,4,4,4,sha3,10,,,,5,1,0.994053,0.03523,1.053592,160,16,enrollment; config=ArbiterPuf
46,ArbiterPuf-4-20260809-23:47:31-406558,ArbiterPuf,4,4,4,sha3,10,,,,6,1,0.991538,0.035421,1.051608,160,16,enrollment; config=ArbiterPuf
47,ArbiterPuf-4-20260809-23:47:31-406558,ArbiterPuf,4,4,4,sha3,10,,,,7,1,1.004264,0.035941,1.064684,160,16,enrollment; config=ArbiterPuf
48,ArbiterPuf-4-20260809-23:47:31-406558,ArbiterPuf,4,4,4,sha3,10,,,,8,1,0.994133,0.03517,1.054063,160,16,enrollment; config=ArbiterPuf
49,ArbiterPuf-4-20260809-23:47:31-406558,ArbiterPuf,4,4,4,sha3,10,,,,9,1,0.995386,0.03538,1.054955,160,16,enrollment; config=ArbiterPuf
50,ArbiterPuf-5-20260809-23:47:31-406558,ArbiterPuf,5,5,5,sha3,10,,,,0,1,1.00238,0.061282,1.103041,160,16,enrollment; config=ArbiterPuf
51,ArbiterPuf-5-20260809-23:47:31-406558,ArbiterPuf,5,5,5,sha3,10,,,,1,1,0.993943,0.036183,1.05759,160,16,enrollment; config=ArbiterPuf
52,ArbiterPuf-5-20260809-23:47:31-406558,ArbiterPuf,5,5,5,sha3,10,,,,2,1,1.005536,0.035191,1.0675,160,16,enrollment; config=ArbiterPuf
53,ArbiterPuf-5-20260809-23:47:31-406558,ArbiterPuf,5,5,5,sha3,10,,,,3,1,0.991789,0.03516,1.05222,160,16,enrollment; config=ArbiterPuf
54,ArbiterPuf-5-20260809-23:47:31-406558,ArbiterPuf,5,5,5,sha3,10,,,,4,1,0.996649,0.03513,1.05732,160,16,enrollment; config=ArbiterPuf
55,ArbiterPuf-5-20260809-23:47:31-406558,ArbiterPuf,5,5,5,sha3,10,,,,5,1,0.996218,0.03508,1.056097,160,16,enrollment; config=ArbiterPuf
56,ArbiterPuf-5-20260809-23:47:31-406558,ArbiterPuf,5,5,5,sha3,10,,,,6,1,0.998071,0.03511,1.058171,160,16,enrollment; config=ArbiterPuf
57,ArbiterPuf-5-20260809-23:47:31-406558,ArbiterPuf,5,5,5,sha3,10,,,,7,1,0.997831,0.046102,1.073292,160,16,enrollment; config=ArbiterPuf
58,ArbiterPuf-5-20260809-23:47:31-406558,ArbiterPuf,5,5,5,sha3,10,,,,8,1,1.131988,0.060942,1.233922,160,16,enrollment; config=ArbiterPuf
59,ArbiterPuf-5-20260809-23:47:31-406558,ArbiterPuf,5,5,5,sha3,10,,,,9,1,1.013693,0.045821,1.096989,160,16,enrollment; config=ArbiterPuf
60,ArbiterPuf-6-20260809-23:47:32-406558,ArbiterPuf,6,6,6,sha3,10,,,,0,1,0.998923,0.053416,1.098943,160,16,enrollment; config=ArbiterPuf
61,ArbiterPuf-6-20260809-23:47:32-406558,ArbiterPuf,6,6,6,sha3,10,,,,1,1,0.991358,0.036162,1.054765,160,16,enrollment; config=ArbiterPuf
